Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 8090,0,0.0,0.0,0,0.0,0.0,0,1,0.04652594177457314,0.0,0,2.0,4.3,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-6.512273320108247,0.0,2.0,4.3,13,True,21.6032808728733,beginner,19.19835956356335
Reset 8091,1,-0.134143350367935,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-7.898802715184951,0.0,2.0,4.3,17,True,36.281001150350406,beginner,11.859499424824797
Reset 8092,0,0.0,0.0,0,0.0,0.0,0,1,-0.08559240548812008,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-4.462970352786896,0.0,2.0,4.8,18,True,37.60370518390419,beginner,11.198147408047905
Reset 8093,1,0.1278437449251273,0.0,0,2.0,4.3,0,1,0.1452534843912594,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-9.744481950013117,0.0,2.0,4.3,20,True,34.45684156611804,beginner,12.771579216940982
Reset 8094,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-7.394652790771538,0.0,2.0,4.8,22,True,44.03704575208296,intermediate,9.49536928098963
Reset 8095,1,-0.10323233446084634,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-8.367023037156123,0.0,2.0,4.3,17,True,32.20674004348109,beginner,13.896629978259455
Reset 8096,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-7.231879636657045,0.0,2.0,4.8,15,True,27.501659284208394,beginner,16.249170357895803
Reset 8097,1,-0.019458007497620944,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-2.6895727726561285,0.0,2.0,4.8,13,True,27.815637131246675,beginner,16.092181434376663
Reset 8098,0,0.0,0.0,0,0.0,0.0,0,1,0.030442798214489253,0.0,0,2.0,4.3,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-4.2019293560757305,0.0,2.0,4.8,11,True,19.820079171835125,beginner,20.089960414082437
Reset 8099,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-2.1296516481853196,0.0,2.0,4.3,20,True,41.48513980082163,intermediate,9.814357524897297
